,to,from
0,Italy,Greece
1,Italy,Spain
2,Italy,United States
3,Italy,Bulgaria
4,Italy,Malta
5,Italy,Netherlands
6,Italy,Lebanon
7,Italy,Nigeria
8,Italy,Syrian Arab Republic
9,Italy,Dominican Republic
10,Italy,Albania
11,Italy,"Bolivia, Plurinational State of"
12,Italy,India
13,Italy,Israel
14,"Venezuela, Bolivarian Republic of",Italy
15,"Venezuela, Bolivarian Republic of",Spain
16,Spain,Italy
17,Spain,France
18,Spain,Belgium
19,Spain,Netherlands
20,Spain,Portugal
21,Spain,Germany
22,Spain,United Kingdom
23,Spain,Jordan
24,Spain,Croatia
25,Spain,Greece
26,Spain,Turkey
27,Spain,Israel
28,Spain,Syrian Arab Republic
29,Colombia,Spain
30,Belgium,France
31,Belgium,Germany
32,Belgium,Spain
33,Belgium,Netherlands
34,Belgium,Italy
35,Belgium,United Kingdom
36,Belgium,Romania
37,Belgium,Côte d'Ivoire
38,Belgium,Switzerland
39,Belgium,Australia
40,Belgium,Cameroon
41,Belgium,Lesotho
42,Belgium,Niger
43,Belgium,Sierra Leone
44,Belgium,Cuba
45,Belgium,Guinea-Bissau
46,Brazil,Italy
47,Brazil,Portugal
48,Brazil,Spain
49,Brazil,Luxembourg
50,Netherlands,Italy
51,Netherlands,Malta
52,Greece,Spain
53,Mexico,Spain
54,Nigeria,Italy
55,Nigeria,Togo
56,Nigeria,Spain
57,Peru,Spain
58,Benin,France
59,Benin,Netherlands
60,Benin,Nigeria
61,Benin,Belgium
62,Dominican Republic,Italy
63,Dominican Republic,Spain
64,Ghana,Togo
65,Ghana,United Kingdom
66,Ghana,Netherlands
67,Ghana,Italy
68,Ghana,Spain
69,Ghana,Greece
70,Ghana,Portugal
71,Ghana,South Africa
72,Ghana,Germany
73,Ghana,France
74,Costa Rica,Italy
75,Costa Rica,Spain
76,Uruguay,Spain
77,France,Netherlands
78,France,Spain
79,France,Belgium
80,France,Italy
81,France,United Kingdom
82,France,Mali
83,Argentina,Italy
84,Argentina,Spain
85,Ecuador,Spain
86,Ecuador,Romania
87,"Bolivia, Plurinational State of",Spain
88,Guatemala,Spain
89,Morocco,Spain
90,Morocco,Turkey
91,Morocco,Netherlands
92,Switzerland,United Kingdom
93,Switzerland,Netherlands
94,Switzerland,Germany
95,Mali,Spain
96,Germany,Italy
97,Germany,Spain
98,Germany,Netherlands
99,Germany,Denmark
100,Germany,Portugal
101,Germany,Czech Republic
102,Germany,United Kingdom
103,Germany,Switzerland
104,Germany,Hungary
105,Germany,Lithuania
106,Germany,Poland
107,Germany,Cameroon
108,Germany,South Africa
109,Germany,Turkey
110,Germany,Indonesia
111,Germany,China
112,Germany,Ecuador
113,Germany,Angola
114,Germany,Belgium
115,Germany,Norway
116,Germany,Mozambique
117,Germany,Austria
118,Cuba,United Kingdom
119,Cuba,Jamaica
120,Cuba,Netherlands
121,United Kingdom,United Arab Emirates
122,Panama,Spain
123,Sierra Leone,United Kingdom
124,Guinea,Spain
125,Guinea,Togo
126,Guinea,Ghana
127,Senegal,Netherlands
128,Senegal,South Africa
129,Senegal,Spain
130,Senegal,Kenya
131,Senegal,Togo
132,Senegal,Benin
133,Senegal,Nigeria
134,Guinea-Bissau,Ghana
135,South Africa,"Congo, the Democratic Republic of the"
136,South Africa,Mauritius
137,United Arab Emirates,Pakistan
138,Portugal,Spain
139,Chile,Spain
140,Chile,Romania
141,El Salvador,Spain
142,Paraguay,Spain
143,Puerto Rico,Spain
144,Romania,Spain
145,Cape Verde,Spain
146,Guyana,Spain
147,Cook Islands,Spain
148,Indonesia,Portugal
149,Togo,Nigeria
150,Togo,Netherlands
151,Togo,Spain
152,Togo,Belgium
153,Togo,France
154,Togo,United Kingdom
155,Togo,Ghana
156,Poland,Lithuania
157,Kenya,Ghana
158,Honduras,Spain
159,Pakistan,Nigeria
160,Luxembourg,Spain
161,Sri Lanka,Pakistan
162,New Zealand,Australia
