,to,from
0,Uzbekistan,Kazakhstan
1,India,Spain
2,India,Netherlands
3,India,Bangladesh
4,India,Nigeria
5,India,Canada
6,India,Greece
7,India,Australia
8,India,United States
9,India,Kuwait
10,India,South Africa
11,Spain,France
12,Spain,Portugal
13,Spain,Finland
14,Netherlands,Spain
15,Netherlands,Luxembourg
16,Netherlands,Portugal
17,South Africa,Zambia
18,Croatia,Iraq
19,Iraq,Bulgaria
20,Latvia,Lithuania
21,Belarus,Latvia
22,Pakistan,Spain
23,Pakistan,United Arab Emirates
24,Pakistan,Saudi Arabia
25,Pakistan,Côte d'Ivoire
26,Pakistan,United Kingdom
27,Pakistan,Sri Lanka
28,Pakistan,Uganda
29,Pakistan,Italy
30,Pakistan,Ghana
31,Pakistan,Netherlands
32,Pakistan,Canada
33,Pakistan,Benin
34,Pakistan,Nigeria
35,Pakistan,Qatar
36,Pakistan,Kuwait
37,Pakistan,Oman
38,Pakistan,Malaysia
39,Pakistan,Indonesia
40,Pakistan,Greece
41,Pakistan,Kenya
42,Pakistan,Austria
43,Pakistan,China
44,Pakistan,Maldives
45,Pakistan,Bahrain
46,Pakistan,India
47,Pakistan,United States
48,Pakistan,"Tanzania, United Republic of"
49,Pakistan,South Africa
50,Pakistan,Thailand
51,Pakistan,France
52,Pakistan,Bulgaria
53,Pakistan,Zambia
54,Russian Federation,Georgia
55,Russian Federation,Armenia
56,Kazakhstan,Ukraine
57,Kazakhstan,Russian Federation
58,Tajikistan,Russian Federation
59,Tajikistan,Kazakhstan
60,Armenia,France
61,Armenia,Canada
62,Bulgaria,Romania
63,Bulgaria,Netherlands
64,Bulgaria,Austria
65,Bulgaria,Germany
66,Bulgaria,Serbia
67,Bulgaria,United Kingdom
68,Bulgaria,Kosovo under UNSCR 1244
69,Bulgaria,Greece
70,Turkey,Bulgaria
71,Turkey,Kazakhstan
72,Turkey,Spain
73,Austria,Switzerland
74,Germany,Bulgaria
75,Germany,Austria
76,Serbia,Austria
77,Kosovo under UNSCR 1244,Romania
78,"Iran, Islamic Republic of",Bulgaria
79,"Iran, Islamic Republic of",Armenia
80,"Iran, Islamic Republic of",Kazakhstan
81,Slovakia,Austria
82,Hungary,Austria
83,Belgium,Spain
84,Ecuador,Colombia
85,Ecuador,United States
86,Ecuador,Mexico
87,Luxembourg,France
88,Madagascar,China
89,Kyrgyzstan,Kazakhstan
90,Zambia,"Tanzania, United Republic of"
